sta_id,network,station,latitude,longitude,elevation,starttime,endtime,site_name
4O.LWM1,4O,LWM1,31.2312,-103.63,826.8,2019-07-26 18:00:00.000,2030-11-04 20:44:14,Layne Water Midstream 1
4O.LWM2,4O,LWM2,31.2699,-103.5847,810.6,2019-07-26 18:00:00.000,2030-11-04 20:44:14,Layne Water Midstream 2
4O.PR01,4O,PR01,31.2365,-103.270332,826.0,2020-02-27 00:00:00.000,2030-11-04 20:44:14,Schlumberger 1
4O.DB04,4O,DB04,31.0664,-103.1054,868.0,2021-02-22 01:05:58.000,2030-11-04 20:44:14,Diamondback UB0004
4O.DB03,4O,DB03,31.1162,-103.078,839.0,2021-02-22 01:05:58.000,2030-11-04 20:44:14,Diamondback UB0003
4O.DB02,4O,DB02,31.1858,-103.1096,820.0,2021-02-22 01:05:58.000,2030-11-04 20:44:14,Diamondback UB0002
4O.WB01,4O,WB01,31.721667,-104.060278,927.0,2021-07-06 17:00:01.000,2023-11-04 19:57:52,Salt Mine 1
4O.MBBB1,4O,MBBB1,32.246247,-101.89107,855.0,2021-09-16 23:00:01.000,,4O-MBBB1
4O.CF01,4O,CF01,32.80184,-100.58318,640.0,2022-03-20 12:00:00.000,2030-11-04 20:44:14,Clear Fork Lonesome Dove WD No.1
4O.CT01,4O,CT01,31.90285,-104.144532,994.0,2022-02-25 21:22:39.064,2030-11-04 20:44:14,"""Z"""
4O.CT02,4O,CT02,31.95689,-104.122493,952.0,2022-02-25 21:22:39.320,2030-11-04 20:44:14,"""Z"""
4O.MID02,4O,MID02,32.1297,-102.1669,883.0,2021-12-07 00:19:49.000,2030-11-04 20:44:14,DiamondBack Midland 02
4O.MID03,4O,MID03,32.0121,-102.2109,874.0,2022-02-14 23:00:00.000,2030-11-04 20:44:14,Diamondback  03
4O.OP01,4O,OP01,32.43232,-101.36427,760.0,2021-11-21 19:00:01.000,2030-11-04 20:44:14,"Gravity/On Point, Hull SWD #1"
4O.PL01,4O,PL01,31.9948147,-103.3596294,949.0,2022-01-03 00:00:00.000,2030-11-04 20:44:14,PILOT
4O.SA02,4O,SA02,31.67163,-104.2649,1127.5,2021-12-07 12:00:00.000,2030-11-04 20:44:14,Saturn HM Philips State 94 Lease
4O.SA04,4O,SA04,31.75593,-104.25458,1092.1,2021-12-07 12:00:00.000,2030-11-04 20:44:14,Saturn Double C SWD Lease
4O.SA06,4O,SA06,31.75696,-104.14971,1048.2,2021-12-07 12:00:00.000,2030-11-04 20:44:14,Saturn I Take It All C SWD
4O.MBBB2,4O,MBBB2,32.053452,-102.073906,850.0,2022-03-10 00:00:00.000,,4O-MBBB2
4O.WB02,4O,WB02,31.7363019,-103.9449205,932.0,2022-05-10 19:00:00.000,2030-11-04 20:44:14,Waterbridge Causeway/Creole
4O.WB03,4O,WB03,31.6107215,-103.9688386,994.0,2022-05-10 19:00:00.000,2030-11-04 20:44:14,Waterbridge  BHS 56-8 1D
4O.SA07,4O,SA07,31.86578,-104.36481,1103.0,2022-07-31 17:00:00.000,2030-11-04 20:44:14,True Blue SWD
4O.SA09,4O,SA09,31.9998,-104.31933,1069.0,2022-07-31 20:00:00.000,2030-11-04 20:44:14,Stateline
4O.WB04,4O,WB04,31.530513,-103.950319,961.89,2022-08-26 19:00:00.000,2030-11-04 20:44:14,Waterbridge
4O.WB05,4O,WB05,31.7537807,-103.8329479,854.81,2022-08-26 19:00:00.000,2030-11-04 20:44:14,Waterbridge
4O.WB06,4O,WB06,31.9975481,-103.7187809,950.93,2022-08-26 19:00:00.000,2030-11-04 20:44:14,DB Ranch
4O.WB07,4O,WB07,31.99830925,-103.8016616,942.37,2022-08-26 19:00:00.000,2030-11-04 20:44:14,DB Ranch
4O.WB08,4O,WB08,31.96355,-103.759894,928.58,2022-08-26 19:00:00.000,2030-11-04 20:44:14,DB Ranch
4O.WB09,4O,WB09,31.96368917,-103.8032847,910.79,2022-08-26 19:00:00.000,2030-11-04 20:44:14,DB Ranch
4O.WB10,4O,WB10,31.93042,-103.7218932,910.9,2022-08-26 19:00:00.000,2030-11-04 20:44:14,DB Ranch
