resource_id,time,seed_id,filter_id,method_id,horizontal_slowness,backazimuth,onset,phase_hint,polarity,evaluation_mode,event_time,evaluation_status,creation_time,author,agency_id,event_id,network,station,location,channel,uncertainty,lower_uncertainty,upper_uncertainty,confidence_level
smi:local/7e8fe599-f8ce-4a29-9886-075ad2e935ef,2023-06-10 04:43:56.832800,GCI.KKFLS..100,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,100,,,,
smi:local/9bcfb425-87c0-44e8-9d33-56150e728ff8,2023-06-10 04:43:57.152800,GCI.KKFLS..101,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,101,,,,
smi:local/52b190f3-9d9c-4651-ac17-8f6ae9c34312,2023-06-10 04:43:57.152800,GCI.KKFLS..102,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,102,,,,
smi:local/e70fbf9f-d487-4488-829c-6f18172834ed,2023-06-10 04:43:56.992800,GCI.KKFLS..103,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,103,,,,
smi:local/92ba2bb9-f8e5-4784-a09f-35068cae36e8,2023-06-10 04:43:56.992800,GCI.KKFLS..104,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,104,,,,
smi:local/b591c052-0fee-4fe7-9e83-b9aceb676d2f,2023-06-10 04:43:57.352800,GCI.KKFLS..105,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,105,,,,
smi:local/fe141306-0441-4909-9033-7dcae93de090,2023-06-10 04:43:57.692800,GCI.KKFLS..106,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,106,,,,
smi:local/d17ff848-7967-480f-94f1-be36f574037c,2023-06-10 04:43:57.452800,GCI.KKFLS..107,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,107,,,,
smi:local/464a58b3-8f2c-4eb1-8fa2-67bd1d98d4d2,2023-06-10 04:43:56.972800,GCI.KKFLS..108,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,108,,,,
smi:local/a24ba979-8e38-4bff-aad9-e2af6c178e42,2023-06-10 04:43:56.872800,GCI.KKFLS..109,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,109,,,,
smi:local/1391e0c7-cfe0-4c7f-acce-d3c9994ee4ae,2023-06-10 04:43:56.752800,GCI.KKFLS..110,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,110,,,,
smi:local/1659a3e0-adde-4f6d-983b-7310f431099b,2023-06-10 04:43:56.612800,GCI.KKFLS..111,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,111,,,,
smi:local/b68154ee-01b4-46b6-b584-287223f6c342,2023-06-10 04:43:57.072800,GCI.KKFLS..112,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,112,,,,
smi:local/63ed7c06-39b1-462b-a325-ca5eb76d10bb,2023-06-10 04:43:56.812800,GCI.KKFLS..113,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,113,,,,
smi:local/9a5cac18-b8b2-440f-a128-f97c0e69899f,2023-06-10 04:43:56.812800,GCI.KKFLS..114,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,114,,,,
smi:local/336bdf4e-f728-478f-a4b0-71acae37e6cc,2023-06-10 04:43:57.032800,GCI.KKFLS..115,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,115,,,,
