/groups/igonin/ecastillo/anaconda3/envs/utdq/lib/python3.11/site-packages/obspy/core/util/base.py:26: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
UTDQBank(base_path=/groups/igonin/ecastillo/UTDQuake/bank/GCI, index_path=/groups/igonin/ecastillo/UTDQuake/bank/GCI/.index.db)
2026-04-23 12:01:14,532 [INFO:utdquake.bank] Total events: 450, Already processed: 0, To process: 450
2026-04-23 12:01:27,492 [INFO:utdquake.bank] Chunk 1/450 saved: 1 events
2026-04-23 12:01:40,357 [INFO:utdquake.bank] Chunk 2/450 saved: 1 events
2026-04-23 12:01:54,650 [INFO:utdquake.bank] Chunk 3/450 saved: 1 events
2026-04-23 12:02:01,416 [INFO:utdquake.bank] Chunk 4/450 saved: 1 events
2026-04-23 12:02:14,490 [INFO:utdquake.bank] Chunk 5/450 saved: 1 events
2026-04-23 12:02:21,047 [INFO:utdquake.bank] Chunk 6/450 saved: 1 events
2026-04-23 12:02:30,759 [INFO:utdquake.bank] Chunk 7/450 saved: 1 events
2026-04-23 12:02:45,267 [INFO:utdquake.bank] Chunk 8/450 saved: 1 events
2026-04-23 12:02:56,394 [INFO:utdquake.bank] Chunk 9/450 saved: 1 events
2026-04-23 12:03:07,023 [INFO:utdquake.bank] Chunk 10/450 saved: 1 events
2026-04-23 12:03:23,376 [INFO:utdquake.bank] Chunk 11/450 saved: 1 events
2026-04-23 12:03:42,147 [INFO:utdquake.bank] Chunk 12/450 saved: 1 events
2026-04-23 12:03:51,125 [INFO:utdquake.bank] Chunk 13/450 saved: 1 events
2026-04-23 12:03:57,156 [INFO:utdquake.bank] Chunk 14/450 saved: 1 events
2026-04-23 12:04:07,147 [INFO:utdquake.bank] Chunk 15/450 saved: 1 events
2026-04-23 12:04:18,765 [INFO:utdquake.bank] Chunk 16/450 saved: 1 events
2026-04-23 12:04:33,566 [INFO:utdquake.bank] Chunk 17/450 saved: 1 events
2026-04-23 12:04:41,222 [INFO:utdquake.bank] Chunk 18/450 saved: 1 events
2026-04-23 12:04:50,209 [INFO:utdquake.bank] Chunk 19/450 saved: 1 events
2026-04-23 12:05:00,791 [INFO:utdquake.bank] Chunk 20/450 saved: 1 events
2026-04-23 12:05:15,630 [INFO:utdquake.bank] Chunk 21/450 saved: 1 events
2026-04-23 12:05:27,022 [INFO:utdquake.bank] Chunk 22/450 saved: 1 events
