network,time,latitude,longitude,depth,magnitude,azimuthal_gap,event_description,associated_phase_count,event_id,horizontal_uncertainty,local_magnitude,moment_magnitude,duration_magnitude,magnitude_type,p_phase_count,s_phase_count,p_pick_count,s_pick_count,standard_error,used_phase_count,station_count,vertical_uncertainty,updated,author,agency_id,creation_time,version,path
GCI,2024-09-07 20:17:46.677,59.949,-152.9805,113700.0,1.7,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11882157,,1.7,,,ml,1597.0,3026.0,1597.0,3026.0,,4623.0,1.0,,2026-04-17 08:50:13.461482240,,,,,2024/09/07/query?eventid=11882157.xml
GCI,2024-07-10 09:00:12.593,58.8753,-150.1418,500.0,4.1,,GULF OF ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11861225,,4.1,,,ml,5379.0,0.0,5379.0,0.0,,5379.0,2.0,,2026-04-17 08:50:16.557484032,,,,,2024/07/10/query?eventid=11861225.xml
GCI,2024-05-17 17:50:53.606,59.3304,-152.9901,77400.0,1.8,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11842376,,1.8,,,ml,1710.0,4898.0,1710.0,4898.0,,6608.0,1.0,,2026-04-17 08:50:19.515485952,,,,,2024/05/17/query?eventid=11842376.xml
GCI,2024-08-13 09:35:36.717,61.2269,-151.2308,67200.0,3.6,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11873484,,3.6,,,ML,2647.0,7600.0,2647.0,7600.0,,10247.0,2.0,,2026-04-17 08:50:21.502487296,,,,,2024/08/13/query?eventid=11873484.xml
GCI,2024-06-14 19:01:17.029,59.8409,-152.3266,82600.0,1.9,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11852849,,1.9,,,ml,2242.0,4901.0,2242.0,4901.0,,7143.0,1.0,,2026-04-17 08:50:21.749487104,,,,,2024/06/14/query?eventid=11852849.xml
GCI,2024-09-02 07:30:48.807,59.8866,-152.6081,83900.0,1.5,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11880103,,1.5,,,ml,2202.0,4445.0,2202.0,4445.0,,6647.0,1.0,,2026-04-17 08:50:22.221487872,,,,,2024/09/02/query?eventid=11880103.xml
GCI,2024-04-28 21:26:28.888,59.7676,-153.066,82500.0,1.6,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11834105,,1.6,,,ml,3362.0,4510.0,3362.0,4510.0,,7872.0,1.0,,2026-04-17 08:50:22.877488896,,,,,2024/04/28/query?eventid=11834105.xml
GCI,2024-06-02 08:59:27.473,59.6318,-153.127,96900.0,1.7,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11847840,,1.7,,,ml,2696.0,4791.0,2696.0,4791.0,,7487.0,1.0,,2026-04-17 08:50:24.041490432,,,,,2024/06/02/query?eventid=11847840.xml
GCI,2024-07-17 07:02:50.002,60.9457,-151.4434,67500.0,2.4,,"KENAI PENINSULA, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11863375,,2.4,,,ml,4922.0,7204.0,4922.0,7204.0,,12126.0,2.0,,2026-04-17 08:50:36.476510208,,,,,2024/07/17/query?eventid=11863375.xml
GCI,2024-05-10 08:18:56.955,60.0396,-153.046,123900.0,2.1,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11839397,,2.1,,,ml,4184.0,8752.0,4184.0,8752.0,,12936.0,2.0,,2026-04-17 08:50:37.416511744,,,,,2024/05/10/query?eventid=11839397.xml
GCI,2024-07-11 09:18:34.092,59.4266,-152.1998,56300.0,1.8,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11861562,,1.8,,,ml,3736.0,4765.0,3736.0,4765.0,,8501.0,1.0,,2026-04-17 08:50:40.570516736,,,,,2024/07/11/query?eventid=11861562.xml
GCI,2024-06-06 23:20:56.780,59.8968,-152.6839,98800.0,1.6,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11849783,,1.6,,,ml,0.0,3345.0,0.0,3345.0,,3345.0,1.0,,2026-04-17 08:50:41.093517824,,,,,2024/06/06/query?eventid=11849783.xml
GCI,2024-04-27 06:43:22.680,60.1795,-152.2277,94900.0,1.6,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11833514,,1.6,,,ml,0.0,4122.0,0.0,4122.0,,4122.0,1.0,,2026-04-17 08:50:41.320518144,,,,,2024/04/27/query?eventid=11833514.xml
GCI,2024-08-31 05:22:04.646,59.8295,-152.313,66400.0,1.8,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11879563,,1.8,,,ml,1103.0,4701.0,1103.0,4701.0,,5804.0,1.0,,2026-04-17 08:50:41.894518784,,,,,2024/08/31/query?eventid=11879563.xml
GCI,2024-06-17 23:50:42.298,59.7081,-153.0321,104800.0,1.8,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11853760,,1.8,,,ml,1392.0,5418.0,1392.0,5418.0,,6810.0,1.0,,2026-04-17 08:50:42.515519744,,,,,2024/06/17/query?eventid=11853760.xml
GCI,2024-05-04 17:40:51.369,59.91,-153.029,109300.0,2.1,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11836893,,2.1,,,ml,146.0,8012.0,146.0,8012.0,,8158.0,2.0,,2026-04-17 09:14:19.533459456,,,,,2024/05/04/query?eventid=11836893.xml
GCI,2024-11-06 18:20:45.605,59.9338,-152.7295,97800.0,2.3,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11900624,,2.3,,,ml,3902.0,8824.0,3902.0,8824.0,,12726.0,2.0,,2026-04-17 09:14:22.027460608,,,,,2024/11/06/query?eventid=11900624.xml
GCI,2024-04-30 17:14:45.600,61.0341,-151.9214,88900.0,2.8,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11834954,,2.4,,,ML,5605.0,6809.0,5605.0,6809.0,,12414.0,2.0,,2026-04-17 09:14:25.105462016,,,,,2024/04/30/query?eventid=11834954.xml
GCI,2024-07-09 15:40:36.778,59.6397,-153.3553,118000.0,2.1,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11860897,,2.1,,,ml,4840.0,8660.0,4840.0,8660.0,,13500.0,2.0,,2026-04-17 09:14:26.009462528,,,,,2024/07/09/query?eventid=11860897.xml
GCI,2024-06-05 12:33:37.965,60.7026,-151.7973,76500.0,2.7,,"KENAI PENINSULA, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11849235,,2.7,,,ML,4692.0,9018.0,4692.0,9018.0,,13710.0,2.0,,2026-04-17 09:14:27.332463360,,,,,2024/06/05/query?eventid=11849235.xml
GCI,2024-05-25 21:01:25.655,59.2973,-152.457,64599.99999999999,1.9,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11845491,,1.9,,,ml,4640.0,8931.0,4640.0,8931.0,,13571.0,2.0,,2026-04-17 09:14:29.586464512,,,,,2024/05/25/query?eventid=11845491.xml
